いがらしゆみこ,93.0,0.7753,いがらしゆみこ
漫画,29.0,0.5965,少女マンガ,漫画
写真,55.0,0.6509,写真
作品展示,13.0,0.7846,作品展示
アート,9.0,0.4778,アート
原画,13.0,0.7538,原画
展示,13.0,0.3615,展示
美術館,38.0,0.6553,美術館
お土産,9.0,0.5000,お土産
グッズ,21.0,0.4571,グッズ
アイビースクエア,10.0,0.3800,アイビースクエア
美観地区,27.0,0.6222,美観地区
建物,10.0,0.3900,建物
駐車場,6.0,0.2000,駐車場
入館料,12.0,0.2167,入館料
館内,9.0,0.3000,館内
スタッフ,7.0,-0.3143,スタッフ
店舗,9.0,0.3778,店舗
カフェ,21.0,0.5381,カフェ
友人,6.0,0.9167,友人
子供,9.0,0.2556,子供
男性,9.0,-0.2889,男性
家族,10.0,0.7000,家族
女性向け,15.0,0.6467,女性向け,女の子
アクセサリー,10.0,0.6200,アクセサリー
楽しい,9.0,0.9667,楽しい
体験,9.0,0.7667,体験
キャンディキャンディ,69.0,0.5464,キャンディキャンディ
衣装,93.0,0.6247,ドレス,衣装
カツラ,11.0,0.5455,カツラ
コスプレ,11.0,0.6636,コスプレ
お姫様体験,57.0,0.8070,お姫様体験
