清水宗治,11.0,0.4364,清水宗治
豊臣秀吉,12.0,0.5500,豊臣秀吉の水攻め,豊臣秀吉
水攻め,19.0,0.2473,水攻め,水攻めの遺跡
湿地帯,4.0,0.0750,湿地帯
堀,4.0,0.4750,堀
池,3.0,0.4667,池
蓮の花,7.0,0.7857,蓮の花
ハス,5.0,0.6400,ハス
花菖蒲,5.0,0.7600,花菖蒲
桜,5.0,0.8600,桜
ビデオ上映,4.0,0.5500,ビデオ上映
景色,6.0,0.4667,景色
駐車場,6.0,0.3333,駐車場
広い場所,3.0,0.3667,広い場所
公園,18.0,0.6611,公園
ボランティア活動,3.0,0.5667,ボランティア活動
散歩,6.0,0.6000,散策,散歩
大河ドラマ,4.0,0.5750,大河ドラマ
秀吉,8.0,0.2250,秀吉
お城,19.0,0.2158,お城
城址公園,7.0,0.6286,城址公園
城郭,9.0,0.3667,城郭
天守閣,4.0,-0.3250,天守閣
石垣,3.0,-0.6000,石垣
記念碑,5.0,0.3400,記念碑
歴史,16.0,0.6000,歴史
資料館,24.0,0.6083,資料館
