cluster-0000,温泉施設,温泉宿,温泉
cluster-0001,温泉街,温泉地
cluster-0002,温泉手形
cluster-0003-0000,湯,湯巡り,立ち寄り湯
cluster-0003-0001,風呂,露天風呂,浴衣
cluster-0004,パン君,パンくんとジェームスのショー,パン君とジェームス,ジェームス
cluster-0005-0000,赤ちゃん熊,小熊とのふれあい
cluster-0005-0001,熊の餌やり
cluster-0005-0002,クマ
cluster-0005-0003,熊本市内
cluster-0006-0000-0000,カドリードミニオン
cluster-0006-0000-0001,カドリー・ドミニオン
cluster-0007,動物,動物たち
cluster-0008,動物園,動物ショー
cluster-0009-0000-0000-0000-0000,アルパカ
cluster-0009-0000-0000-0000-0001,カピバラ
cluster-0009-0001-0000-0000-0000,猫
cluster-0009-0001-0000-0000-0001,犬
cluster-0009-0001-0001,ペンギン
cluster-0009-0001-0002,プリンちゃん
cluster-0010-0000,雰囲気,景色,眺め,風景
cluster-0010-0001-0000-0000-0000,広さ
cluster-0010-0001-0000-0000-0001,楽しさ
cluster-0010-0002-0000-0000-0000,泉質
cluster-0010-0002-0000-0000-0001,自然
cluster-0011,復興,修復
cluster-0012-0000-0000,日帰り
cluster-0012-0000-0001,散策
cluster-0013-0000-0000,写真撮影
cluster-0013-0000-0001,ヘリコプター遊覧
cluster-0014-0000-0000-0000-0000,展示物
cluster-0014-0000-0000-0000-0001,ショー
cluster-0014-0001-0000-0000-0000,ライトアップ
cluster-0014-0001-0000-0000-0001,イベント
cluster-0014-0001-0001,歴史
cluster-0014-0001-0002,地震・震災
cluster-0015-0000-0000-0000-0000,デザイン
cluster-0015-0000-0000-0000-0001,デザート
cluster-0015-0001,手形
cluster-0016-0000,お店,お土産,お土産屋,スイーツ店
cluster-0016-0001-0000,料金,入場料
cluster-0016-0001-0001-0000-0000-0000-0000,駐車場
cluster-0016-0001-0001-0000-0000-0000-0001,園内
cluster-0016-0001-0001-0000-0001,案内
cluster-0016-0001-0001-0001-0000,施設,サービス
cluster-0016-0001-0001-0001-0001,スタッフ
cluster-0016-0001-0001-0001-0002,バス
cluster-0016-0001-0002,おもてなし,接客
cluster-0016-0001-0003-0000-0000,旅館
cluster-0016-0001-0003-0000-0001,宿
cluster-0016-0002-0000-0000-0000,食事
cluster-0016-0002-0000-0000-0001,料理
cluster-0016-0002-0001-0000-0000,エサやり
cluster-0016-0002-0001-0000-0001,餌
cluster-0016-0003-0000,子供,子連れ
cluster-0016-0003-0001-0000-0000-0000-0000,家族
cluster-0016-0003-0001-0000-0000-0000-0001,ふれあい
cluster-0016-0003-0001-0001,外国人
cluster-0017,街,城,城内,お城,街並み,町
cluster-0018-0000-0000,加藤清正
cluster-0018-0000-0001,加藤神社
cluster-0019-0000-0000,武将隊
cluster-0019-0000-0001,武者返し
cluster-0020-0000-0000-0000-0000,階段
cluster-0020-0000-0000-0000-0001,坂
cluster-0020-0000-0001,石垣
cluster-0020-0001-0000-0000-0000,黒川
cluster-0020-0001-0000-0000-0001,川
cluster-0020-0002-0000-0000-0000,桜
cluster-0020-0002-0000-0000-0001,紅葉
cluster-0021,みやざわ劇場,劇場
cluster-0022,宇土櫓,櫓
cluster-0023-0000-0000,本丸御殿
cluster-0023-0000-0001,天守閣
