cluster-0000,砂かけばばあ,砂丘,砂,砂像,砂の彫刻,砂の造形物,砂のアート,砂の美術館
cluster-0001-0000,鬼太郎の像,鬼太郎グッズ,ゲゲゲの鬼太郎,鬼太郎
cluster-0001-0001,ブロンズ像,銅像
cluster-0001-0002,妖怪のブロンズ像,妖怪の像,妖怪
cluster-0002-0000,登山,夏山登山,登山道
cluster-0002-0001-0000,山,蒜山
cluster-0002-0001-0001-0000-0000,大山寺
cluster-0002-0001-0001-0000-0001,富士山
cluster-0003-0000-0000,頂上
cluster-0003-0000-0001,鍵掛峠
cluster-0004-0000-0000,弓ヶ浜
cluster-0004-0000-0001,目玉おやじ
cluster-0005-0000,お土産,お土産店,土産物店
cluster-0005-0001-0000,食べ物,食事処
cluster-0005-0001-0001,海鮮
cluster-0005-0002-0000,店舗,商店街,お店
cluster-0005-0002-0001-0000-0000-0000-0000,町
cluster-0005-0002-0001-0000-0000-0000-0001,通り
cluster-0005-0002-0001-0001,混雑
cluster-0005-0002-0001-0002,街灯
cluster-0006-0000-0000,行列,道
cluster-0006-0000-0001-0000-0000,表情
cluster-0006-0000-0001-0000-0001,展示
cluster-0006-0001-0000-0000-0000,彫刻
cluster-0006-0001-0000-0000-0001,制作過程
cluster-0007-0000-0000,入場
cluster-0007-0000-0001,館内
cluster-0008-0000-0000,牧場
cluster-0008-0000-0001,駐車場
cluster-0009-0000-0000-0000-0000,リフト
cluster-0009-0000-0000-0000-0001,ロード
cluster-0009-0000-0001,ドライブ
cluster-0009-0001-0000-0000-0000,階段
cluster-0009-0001-0000-0000-0001,駅
cluster-0009-0001-0001,スタンプラリー
cluster-0010-0000,写真,記念撮影,写真撮影
cluster-0010-0001-0000,作品,芸術作品
cluster-0010-0001-0001-0000-0000-0000-0000,アート
cluster-0010-0001-0001-0000-0000-0000-0001,美術館
cluster-0010-0001-0001-0001,文化施設
cluster-0011-0000-0000-0000-0000,感動
cluster-0011-0000-0000-0000-0001,迫力
cluster-0011-0000-0001,スケール,サイズ
cluster-0011-0000-0002-0000-0000-0000-0000,精巧さ
cluster-0011-0000-0002-0000-0000-0000-0001,クオリティー
cluster-0011-0000-0002-0001-0000-0000-0000,楽しさ
cluster-0011-0000-0002-0001-0000-0000-0001,価値
cluster-0011-0001-0000,空気,雰囲気
cluster-0011-0001-0001,天気
cluster-0011-0002-0000,展望,景色
cluster-0011-0002-0001,視覚
cluster-0012-0000,牛乳,牛
cluster-0012-0001-0000-0000-0000,みるくの里
cluster-0012-0001-0000-0000-0001,スキー
cluster-0012-0001-0001,温泉
cluster-0012-0001-0002,ソフトクリーム
cluster-0012-0002-0000-0000-0000,紅葉
cluster-0012-0002-0000-0000-0001,緑
cluster-0012-0003-0000-0000-0000,雪
cluster-0012-0003-0000-0000-0001,夏
cluster-0012-0003-0001,自然
cluster-0013-0000,子供,子供連れ
cluster-0013-0001-0000-0000-0000,ねずみ男
cluster-0013-0001-0000-0000-0001,猫娘
cluster-0013-0002-0000-0000-0000,キャラクター
cluster-0013-0002-0000-0000-0001,着ぐるみ
cluster-0013-0003-0000-0000-0000,おすすめ
cluster-0013-0003-0000-0000-0001,テーマ
