cluster-0000,動物ショー,シャチ,シャチの体験,シャチのパフォーマンス,シャチのショー,イルカとシャチのショー,イルカのショー
cluster-0001,乳搾り体験,収穫体験,体験
cluster-0002,牧場,マザーファームツアー,マザー牧場
cluster-0003,動物との触れ合い,動物たち,動物,動物とのふれあい
cluster-0004,羊のイベント,羊とヤギ
cluster-0005,イベント,アヒルのイベント
cluster-0006-0000-0000,イルカ,アシカ
cluster-0006-0000-0001,アルパカ
cluster-0006-0001-0000-0000-0000,子豚のレース
cluster-0006-0001-0000-0000-0001,うさぎ
cluster-0006-0001-0001,鰻
cluster-0007-0000,お店,店内,おしゃれな店,店舗数,有名店,店舗
cluster-0007-0001-0000,レストラン,ホテル
cluster-0007-0001-0001-0000-0000,カフェ
cluster-0007-0001-0001-0000-0001,ラウンジ
cluster-0007-0002,フードコート,飲食店,飲食施設
cluster-0008,お土産,お土産店,お土産屋さん
cluster-0009,ショッピング,買い物,ショッピング施設,ショッピングモール
cluster-0010,三井アウトレット,アウトレット,三井アウトレット幕張
cluster-0011,遊具,遊び場
cluster-0012,テーマパーク,遊園地
cluster-0013-0000-0000-0000-0000,敷地
cluster-0013-0000-0000-0000-0001,境内
cluster-0013-0001,駐車場,パーキングエリア
cluster-0013-0002,庭園,公園
cluster-0013-0003,パーク,園内,パーク内
cluster-0014-0000,ビール,お酒,アルコール
cluster-0014-0001-0000,牛,牛乳
cluster-0014-0001-0001,自然
cluster-0015,パンケーキ,パン屋,パン
cluster-0016-0000-0000-0000-0000,ランチ
cluster-0016-0000-0000-0000-0001,ラーメン
cluster-0016-0001-0000,食事,食べ物
cluster-0016-0001-0001-0000-0000,美味しい
cluster-0016-0001-0001-0000-0001,グルメ
cluster-0017-0000-0000,バーベキュー
cluster-0017-0000-0001,ソーセージ
cluster-0018-0000-0000,ソフトクリーム
cluster-0018-0000-0001,ポップコーン
cluster-0019-0000-0000,天気,天候,風
cluster-0019-0000-0001-0000,防寒,寒さ
cluster-0019-0000-0001-0001,気候対策
cluster-0019-0001,楽しい,楽しさ,楽しめる場所
cluster-0019-0002,便利,利便性,ご利益
cluster-0019-0003-0000-0000-0000,平日
cluster-0019-0003-0000-0000-0001,休暇
cluster-0019-0003-0001,待ち時間
cluster-0019-0004-0000-0000-0000,清潔感
cluster-0019-0004-0000-0000-0001,きれい
cluster-0019-0005-0000-0000-0000,雰囲気
cluster-0019-0005-0000-0000-0001,気軽さ
cluster-0019-0005-0001,迫力
cluster-0020-0000-0000,入場,入場料
cluster-0020-0000-0001,価格,料金
cluster-0020-0001,ブランド,スポーツブランド
cluster-0020-0002-0000-0000-0000,サイズ
cluster-0020-0002-0000-0000-0001,サービス
cluster-0020-0002-0001,洋服
cluster-0020-0002-0002,セール
cluster-0020-0003-0000-0000-0000,雑貨
cluster-0020-0003-0000-0000-0001,商品
cluster-0020-0003-0001,品揃え
cluster-0020-0003-0002,バッグ
cluster-0020-0003-0003,家具
cluster-0021-0000,ショー,展示
cluster-0021-0001-0000-0000-0000,シー
cluster-0021-0001-0000-0000-0001,席
