cluster-0000-0000-0000-0000-0000,しぶき
cluster-0000-0000-0000-0000-0001,霧
cluster-0000-0000-0001-0000,天気,天候
cluster-0000-0000-0001-0001-0000-0000-0000,水量
cluster-0000-0000-0001-0001-0000-0000-0001,温度
cluster-0000-0000-0002-0000,広さ,広い
cluster-0000-0000-0002-0001-0000-0000-0000,迫力
cluster-0000-0000-0002-0001-0000-0000-0001,感動
cluster-0000-0000-0002-0002,寒さ,涼しさ
cluster-0000-0000-0002-0003,美しさ,精巧さ
cluster-0000-0000-0002-0004-0000-0000-0000,香り
cluster-0000-0000-0002-0004-0000-0000-0001,雰囲気
cluster-0000-0000-0002-0004-0001,色彩
cluster-0000-0001-0000-0000,演劇,劇場
cluster-0000-0001-0000-0001,芝居
cluster-0000-0001-0000-0002,時代劇
cluster-0000-0001-0000-0003,役者
cluster-0000-0001-0001,写真,撮影,写真撮影
cluster-0000-0001-0002-0000-0000-0000-0000,装飾
cluster-0000-0001-0002-0000-0000-0000-0001,作り
cluster-0000-0001-0002-0001,彫刻
cluster-0000-0001-0002-0002,改修
cluster-0000-0001-0003-0000-0000-0000-0000,展示物
cluster-0000-0001-0003-0000-0000-0000-0001,ショー
cluster-0000-0001-0003-0001,説明
cluster-0000-0001-0004-0000-0000-0000-0000,模型
cluster-0000-0001-0004-0000-0000-0000-0001,人形
cluster-0000-0001-0004-0001,レゴ
cluster-0000-0001-0005-0000-0000-0000-0000,リアル
cluster-0000-0001-0005-0000-0000-0000-0001,自然
cluster-0000-0001-0005-0001,水芸
cluster-0000-0001-0005-0002,音
cluster-0000-0001-0005-0003,見ざる聞かざる言わざる
cluster-0001,お土産,お土産店
cluster-0002,外国人,外国人観光客
cluster-0003-0000,ミニチュアの世界,ミニチュア
cluster-0003-0001-0000-0000-0000,世界遺産
cluster-0003-0001-0000-0000-0001,世界の有名な建物
cluster-0003-0002-0000-0000-0000,修学旅行
cluster-0003-0002-0000-0000-0001,世界旅行気分
cluster-0004-0000-0000,景観,景色
cluster-0004-0000-0001,観瀑台,展望台
cluster-0004-0000-0002-0000-0000,観光名所
cluster-0004-0000-0002-0000-0001,観覧車
cluster-0004-0000-0003,スカイツリー
cluster-0004-0001,絶叫系,絶叫マシン
cluster-0004-0002-0000-0000-0000,コースター
cluster-0004-0002-0000-0000-0001,ジェットコースター
cluster-0004-0003,テーマパーク,アトラクション,遊園地
cluster-0005,コスト,価格
cluster-0006,入場料,料金
cluster-0007-0000,チケット,チケット購入
cluster-0007-0001-0000-0000-0000,割引・クーポン
cluster-0007-0001-0000-0000-0001,フリーパス
cluster-0008-0000,時間,時間帯
cluster-0008-0001,待ち時間
cluster-0008-0002,空いている
cluster-0009,ガイド,ガイドツアー
cluster-0010,スタッフ,スタッフ対応
cluster-0011-0000-0000-0000-0000,ソフトクリーム
cluster-0011-0000-0000-0000-0001,保冷剤サービス
cluster-0011-0001,マイナスイオン
cluster-0012,イベント,ガンダムイベント
cluster-0013,ライトアップ,イルミネーション
cluster-0014-0000-0000-0000,有料エレベーター,エレベーター
cluster-0014-0000-0000-0001,リフト
cluster-0014-0000-0000-0002,階段
cluster-0014-0000-0001,陽明門,門
cluster-0014-0000-0002-0000-0000-0000-0000,バス
cluster-0014-0000-0002-0000-0000-0000-0001,乗り物
cluster-0014-0000-0002-0001,渋滞,混雑
cluster-0014-0000-0002-0002-0000-0000-0000,交通手段
cluster-0014-0000-0002-0002-0000-0000-0001,通路
cluster-0014-0000-0002-0002-0001,迷路
cluster-0014-0001,園内,駐車場,敷地内,敷地,駐車
cluster-0014-0002-0000-0000-0000,カップル
cluster-0014-0002-0000-0000-0001,家族
cluster-0014-0002-0001-0000-0000,歴史
cluster-0014-0002-0001-0000-0001,王国
cluster-0014-0003-0000-0000-0000,衣装
cluster-0014-0003-0000-0000-0001,着物レンタル
cluster-0014-0004-0000-0000-0000,昼夜
cluster-0014-0004-0000-0000-0001,季節
cluster-0014-0005-0000-0000-0000,食事
cluster-0014-0005-0000-0000-0001,釣り
cluster-0014-0006-0000,飲食店,店舗,レストラン
cluster-0014-0006-0001-0000-0000,村
cluster-0014-0006-0001-0000-0001,町並み
cluster-0014-0006-0002-0000,建物,施設
cluster-0014-0006-0002-0001,屋敷
cluster-0014-0006-0002-0002,休憩所
cluster-0014-0006-0002-0003,変身処
cluster-0015,藤,大藤,藤の花
cluster-0016-0000-0000,黄花藤
cluster-0016-0000-0001,チューリップ
cluster-0017-0000-0000-0000-0000,薔薇
cluster-0017-0000-0000-0000-0001,花
cluster-0017-0001,虹
cluster-0018-0000-0000-0000-0000,東照宮
cluster-0018-0000-0000-0000-0001,五重塔
cluster-0018-0001-0000,二荒山神社,神社
cluster-0018-0001-0001,参拝
cluster-0018-0002,徳川家康の墓
cluster-0018-0003-0000,フラワーパーク,足利フラワーパーク
cluster-0018-0003-0001-0000-0000-0000-0000,ツツジ
cluster-0018-0003-0001-0000-0000-0000-0001,杉
cluster-0018-0003-0001-0001,ハシビロコウ
cluster-0018-0003-0002-0000-0000-0000-0000,紅葉
cluster-0018-0003-0002-0000-0000-0000-0001,いろは坂
cluster-0018-0003-0002-0001,花魁
cluster-0018-0003-0003-0000-0000-0000-0000,滝
cluster-0018-0003-0003-0000-0000-0000-0001,華厳の滝
cluster-0018-0003-0003-0001-0000-0000-0000,鬼怒川
cluster-0018-0003-0003-0001-0000-0000-0001,中禅寺湖
cluster-0019,手裏剣,忍者屋敷,忍者劇場,忍者ショー,忍者,忍者体験
cluster-0020,三猿の彫刻,三猿
cluster-0021-0000,眠り猫,猫
cluster-0021-0001,にゃんまげ
cluster-0021-0002,鳴き龍
cluster-0022-0000-0000-0000-0000,ペンギン
cluster-0022-0000-0000-0000-0001,レッサーパンダ
cluster-0022-0001-0000-0000-0000,カピバラ
cluster-0022-0001-0000-0000-0001,アルパカ
cluster-0022-0001-0001,ラクダ
cluster-0023-0000,バードショー,バードパフォーマンスショー
cluster-0023-0001-0000,鳥,動物
cluster-0023-0001-0001,犬
cluster-0023-0002-0000,動物園,動物ショー
cluster-0023-0002-0001,動物との距離
cluster-0023-0003-0000-0000-0000,牧場とファーム
cluster-0023-0003-0000-0000-0001,ドッグラン
cluster-0024,子供,子供連れ,子連れ,小さな子供連れ
cluster-0025,楽しむ,楽しさ
cluster-0026,大人,大人向けの楽しさ
cluster-0027-0000,動物との触れ合い,触れ合い
cluster-0027-0001,職業体験,体験,餌やり体験
