cluster-0000-0000,広島,広島の電車,広島市内,広島の街並み
cluster-0000-0001,平和,平和公園,平和教育,平和記念公園
cluster-0000-0002,原爆,核兵器,原爆ドーム,原爆投下,原爆の恐ろしさ
cluster-0000-0003-0000-0000-0000,被爆と被害
cluster-0000-0003-0000-0000-0001,被害者
cluster-0000-0003-0001-0000,戦争,戦争の悲惨さ
cluster-0000-0003-0001-0001,悲惨な状況
cluster-0001-0000,カープファン,カープ,カープうどん,カープ電車
cluster-0001-0001,広島カープ,野球観戦,野球
cluster-0001-0002-0000,市民球場,球場
cluster-0001-0002-0001,マツダスタジアム,スタジアム
cluster-0001-0002-0002,ドーム
cluster-0002-0000-0000-0000-0000,交通系ICカード
cluster-0002-0000-0000-0000-0001,一日乗車券
cluster-0002-0001,料金,運賃
cluster-0002-0002,チケット,入場料
cluster-0002-0003-0000,街並み,繁華街
cluster-0002-0003-0001-0000-0000,市内移動
cluster-0002-0003-0001-0000-0001,移動
cluster-0002-0003-0002-0000-0000-0000-0000,混雑
cluster-0002-0003-0002-0000-0000-0000-0001,交通
cluster-0002-0003-0002-0001,便利
cluster-0002-0003-0003-0000-0000-0000-0000,船旅
cluster-0002-0003-0003-0000-0000-0000-0001,フェリー
cluster-0002-0003-0003-0000-0001,舟
cluster-0002-0003-0003-0001-0000-0000-0000,乗車
cluster-0002-0003-0003-0001-0000-0000-0001,車掌
cluster-0002-0003-0003-0001-0001,バス
cluster-0002-0003-0003-0002-0000,路面電車,電車
cluster-0002-0003-0003-0002-0001,路線
cluster-0002-0003-0003-0002-0002,ロープウェイ
cluster-0002-0003-0003-0003-0000,新型車両,車両
cluster-0002-0003-0003-0003-0001-0000-0000-0000-0000,新幹線
cluster-0002-0003-0003-0003-0001-0000-0000-0000-0001,広電
cluster-0002-0003-0003-0003-0001-0001,改修工事
cluster-0003-0000,店,飲食店,お店
cluster-0003-0001-0000-0000,駐車場,公園
cluster-0003-0001-0000-0001,駅
cluster-0003-0001-0001,設備,建物,施設
cluster-0003-0001-0002-0000,宿泊施設,ホテル
cluster-0003-0001-0002-0001-0000-0000-0000,社殿
cluster-0003-0001-0002-0001-0000-0000-0001,館内
cluster-0003-0001-0002-0002,水族館
cluster-0004-0000-0000-0000-0000,宮島
cluster-0004-0000-0000-0000-0001,弥山
cluster-0004-0001,厳島神社,神社
cluster-0004-0002-0000,参拝,参道
cluster-0004-0002-0001,鳥居
cluster-0005,外国人観光客,観光客,外国人
cluster-0006-0000-0000,訪れるべき場所
cluster-0006-0000-0001,訪問
cluster-0007-0000,満潮,潮,干潮
cluster-0007-0001-0000,感覚,感情
cluster-0007-0001-0001,清潔感
cluster-0007-0002,景色,景観,視覚媒体
cluster-0007-0003-0000-0000-0000,雰囲気
cluster-0007-0003-0000-0000-0001,天気
cluster-0007-0003-0001,美しさ
cluster-0008-0000,遺産,遺品
cluster-0008-0001,世界遺産,文化財
cluster-0008-0002-0000,資料館,資料
cluster-0008-0002-0001,実物,展示,展示物
cluster-0009-0000-0000-0000-0000,修学旅行
cluster-0009-0000-0000-0000-0001,学習
cluster-0009-0001-0000-0000-0000,応援
cluster-0009-0001-0000-0000-0001,ボランティア
cluster-0009-0001-0001,ガイド
cluster-0009-0002-0000,観戦,試合
cluster-0009-0002-0001,楽しみ
cluster-0010-0000,席,シート
cluster-0010-0001,内野席
cluster-0011,子ども,子供
cluster-0012,写真撮影,写真
cluster-0013,イルミネーション,ライトアップ
cluster-0014-0000-0000-0000-0000,紅葉
cluster-0014-0000-0000-0000-0001,折鶴
cluster-0014-0001,鹿
cluster-0015-0000-0000,家族向け
cluster-0015-0000-0001,結婚式
cluster-0016-0000-0000,バーベキュー
cluster-0016-0000-0001,芝生
cluster-0017-0000-0000-0000-0000,夕方
cluster-0017-0000-0000-0000-0001,時間
cluster-0017-0001-0000-0000-0000,歴史
cluster-0017-0001-0000-0000-0001,本数
cluster-0017-0002,JR
cluster-0018,揚げもみじ饅頭,もみじ饅頭
cluster-0019-0000-0000-0000-0000,フードメニュー
cluster-0019-0000-0000-0000-0001,食べ物
cluster-0019-0001-0000-0000-0000,牡蠣
cluster-0019-0001-0000-0000-0001,穴子料理
cluster-0020-0000-0000-0000-0000,トイレ用品
cluster-0020-0000-0000-0000-0001,グッズ販売
cluster-0020-0001,お土産
cluster-0021-0000-0000,コストコ
cluster-0021-0000-0001,コンコース
