cluster-0000-0000-0000-0000-0000,聖徳太子
cluster-0000-0000-0000-0000-0001,飛鳥時代
cluster-0000-0001-0000-0000-0000,若草山
cluster-0000-0001-0000-0000-0001,春日大社
cluster-0000-0001-0001,桜
cluster-0000-0001-0002,JR法隆寺駅
cluster-0000-0002-0000,大仏殿,大仏,仏像,仏教文化,百済観音
cluster-0000-0002-0001,寺院,東大寺,お寺,中宮寺
cluster-0000-0002-0002,木造建築,建物
cluster-0000-0002-0003-0000-0000-0000-0000,五重塔
cluster-0000-0002-0003-0000-0000-0000-0001,国宝館
cluster-0000-0002-0003-0001,世界遺産
cluster-0001,外国,外国人
cluster-0002,外国人観光客,観光客
cluster-0003-0000-0000,広さ,大きさ,広い
cluster-0003-0000-0001-0000-0000-0000-0000,雰囲気
cluster-0003-0000-0001-0000-0000-0000-0001,景色
cluster-0003-0000-0001-0001-0000-0000-0000,迫力
cluster-0003-0000-0001-0001-0000-0000-0001,静けさ
cluster-0003-0000-0002-0000-0000,内部施設,境内
cluster-0003-0000-0002-0000-0001,敷地
cluster-0003-0000-0002-0001-0000,駐車場,駐車
cluster-0003-0000-0002-0001-0001-0000-0000,公園
cluster-0003-0000-0002-0001-0001-0000-0001,駅
cluster-0003-0000-0002-0001-0002,散歩
cluster-0003-0000-0002-0001-0003,バス
cluster-0003-0000-0002-0001-0004,混雑
cluster-0003-0001-0000,鹿,鹿のフン
cluster-0003-0001-0001,鹿せんべい
cluster-0003-0001-0002,糞
cluster-0003-0002-0000-0000-0000,柱の穴
cluster-0003-0002-0000-0000-0001,鼻の穴くぐり
cluster-0003-0003-0000-0000-0000,店
cluster-0003-0003-0000-0000-0001,時間
cluster-0003-0003-0001-0000-0000-0000-0000,子供
cluster-0003-0003-0001-0000-0000-0000-0001,かわいい
cluster-0003-0003-0001-0001,お土産屋
cluster-0003-0004-0000-0000-0000,中門
cluster-0003-0004-0000-0000-0001,参道
cluster-0003-0005-0000-0000-0000,二月堂
cluster-0003-0005-0000-0000-0001,夢殿
cluster-0003-0005-0001,金堂
cluster-0003-0006-0000-0000-0000,正倉院
cluster-0003-0006-0000-0000-0001,玉虫厨子
cluster-0003-0007-0000,拝観,拝観料,入場料
cluster-0003-0007-0001,写真撮影,写真
cluster-0003-0007-0002-0000-0000,体験
cluster-0003-0007-0002-0000-0001,修学旅行
cluster-0003-0007-0003-0000-0000-0000-0000,アクセス
cluster-0003-0007-0003-0000-0000-0000-0001,ガイド
cluster-0003-0007-0003-0001,歴史
cluster-0003-0007-0003-0002,ライトアップイベント
