cluster-0000-0000,シャボテン,シャボテン公園
cluster-0000-0001,サボテン,サボテンソフトクリーム,サボテン料理
cluster-0000-0002-0000-0000,キリン,キリンの餌やり体験,キリンの餌やり
cluster-0000-0002-0000-0001-0000,ふれあい,動物との触れ合い
cluster-0000-0002-0000-0001-0001-0000,餌やり体験,動物の餌やり
cluster-0000-0002-0000-0001-0001-0001,エサやり
cluster-0000-0002-0001-0000,ハリネズミ,リスザル
cluster-0000-0002-0001-0001,ウサギ
cluster-0000-0002-0001-0002,アルマジロ
cluster-0000-0002-0001-0003,カンガルー
cluster-0000-0002-0002-0000,動物,動物たち
cluster-0000-0002-0002-0001,小動物
cluster-0000-0002-0002-0002-0000-0000-0000,ライオン
cluster-0000-0002-0002-0002-0000-0000-0001,猛獣
cluster-0000-0002-0002-0003,猿
cluster-0000-0002-0002-0004,ポニー
cluster-0000-0002-0003-0000,カピバラ,カピパラ,カピバラ温泉
cluster-0000-0002-0003-0001,ホワイトライオンとホワイトタイガーの赤ちゃん,ホワイトタイガー
cluster-0000-0002-0003-0002,サファリ,サファリゾーン
cluster-0000-0002-0003-0003-0000-0000-0000,チンパンジーのショー
cluster-0000-0002-0003-0003-0000-0000-0001,ショー
cluster-0000-0002-0003-0004-0000,動物園,動物ショー
cluster-0000-0002-0003-0004-0001,アニマルキングダム
cluster-0000-0002-0003-0004-0002,恐竜の森
cluster-0001,うなぎパイの試食と購入,うなぎパイのお土産
cluster-0002,うなぎパイ,うなぎパイスイーツ
cluster-0003,うなぎパイ工場見学,うなぎパイの製造工程
cluster-0004-0000-0000,飲食店,飲食
cluster-0004-0000-0001,食事,食事場所,食事施設
cluster-0004-0000-0002-0000-0000-0000-0000,レストラン
cluster-0004-0000-0002-0000-0000-0000-0001,フードコート
cluster-0004-0000-0002-0001,ドリンクサービス
cluster-0004-0001,喫茶,カフェ,喫茶店
cluster-0004-0002,お店,店員,店舗数,店舗,店
cluster-0004-0003-0000-0000,買い物,お買い物,ショッピング
cluster-0004-0003-0000-0001,アウトレット,御殿場アウトレット
cluster-0004-0003-0000-0002-0000,セール,お買い得
cluster-0004-0003-0000-0002-0001,販売所
