cluster-0000-0000,ソフトクリーム,わさびソフトクリーム
cluster-0000-0001,ワサビ栽培施設,ワサビ料理
cluster-0000-0002,わさびコロッケ,わさび丼
cluster-0000-0003,わさびの植物部位,わさび,わさび田,わさび栽培,わさびソフト,生わさび
cluster-0001-0000-0000,おさる
cluster-0001-0000-0001,サル
cluster-0002-0000-0000,小猿
cluster-0002-0000-0001,野猿公苑
cluster-0003,猿,猿の温泉,猿の親子,野生の猿,お猿さんたち,お猿さん
cluster-0004-0000,温泉,上林温泉,渋温泉
cluster-0004-0001-0000-0000-0000,入浴
cluster-0004-0001-0000-0000-0001,露天風呂
cluster-0004-0002-0000,水車,ボート,クリアボート
cluster-0004-0002-0001-0000,川,梓川
cluster-0004-0002-0001-0001,河童橋
cluster-0004-0002-0002,明神池,大正池
cluster-0004-0002-0003-0000-0000-0000-0000,水
cluster-0004-0002-0003-0000-0000-0000-0001,湧水
cluster-0004-0002-0003-0001,水の美しさ
cluster-0004-0002-0003-0002,清流
cluster-0005-0000,山々の風景,景色,景観,風景
cluster-0005-0001-0000-0000-0000-0000-0000,紅葉
cluster-0005-0001-0000-0000-0000-0000-0001,桜
cluster-0005-0001-0000-0001,緑
cluster-0005-0001-0001-0000-0000-0000-0000,安曇野
cluster-0005-0001-0001-0000-0000-0000-0001,杉並木
cluster-0005-0001-0001-0001,鳥のさえずり
cluster-0005-0002-0000-0000-0000,穂高連峰
cluster-0005-0002-0000-0000-0001,焼岳
cluster-0005-0003,雪,雪景色
cluster-0005-0004-0000-0000-0000,山
cluster-0005-0004-0000-0000-0001,道
cluster-0006-0000-0000,天気,天候
cluster-0006-0000-0001-0000-0000,温度
cluster-0006-0000-0001-0000-0001,冬
cluster-0006-0000-0002-0000-0000,雨
cluster-0006-0000-0002-0000-0001,自然
cluster-0006-0001,広い,広さ
cluster-0006-0002-0000-0000-0000,満足感
cluster-0006-0002-0000-0000-0001,楽しさ
cluster-0006-0003,空気,雰囲気
cluster-0006-0004-0000-0000-0000,涼しさ
cluster-0006-0004-0000-0000-0001,癒し
cluster-0007-0000-0000,戸隠神社奥社
cluster-0007-0000-0001,奥社
cluster-0008-0000-0000,九頭龍社
cluster-0008-0000-0001,宝光社
cluster-0009-0000,お寺,寺社仏閣,神社
cluster-0009-0001,お戒壇巡り,参拝,五社参り
cluster-0009-0002-0000-0000-0000-0000-0000,御朱印
cluster-0009-0002-0000-0000-0000-0000-0001,御開帳
cluster-0009-0002-0000-0001,おみくじ
cluster-0009-0002-0001-0000-0000-0000-0000,国宝
cluster-0009-0002-0001-0000-0000-0000-0001,神聖
cluster-0009-0002-0001-0001,数珠頂戴
cluster-0009-0002-0001-0002,仁王
cluster-0010,お店,売店,ショッピング,店舗数,店舗,ショップ,買い物,セール,アウトレット
cluster-0011-0000,レストラン,飲食店,飲食施設
cluster-0011-0001-0000,蕎麦屋,蕎麦
cluster-0011-0001-0001-0000-0000,食事
cluster-0011-0001-0001-0000-0001,おやき
