cluster-0000,クラゲアイス,クラゲ
cluster-0001,クラゲ展示,クラゲの水槽展示,クラゲの展示,クラゲの水族館
cluster-0002-0000,硫黄の匂い,硫黄泉
cluster-0002-0001-0000-0000-0000,源泉かけ流し
cluster-0002-0001-0000-0000-0001,泉質
cluster-0003,湯,湯めぐり,お湯,足湯
cluster-0004,温泉,日帰り温泉施設,温泉街
cluster-0005,露天風呂,共同浴場,公衆浴場,風呂
cluster-0006-0000-0000,達成感
cluster-0006-0000-0001,爽快感
cluster-0007,風,天気
cluster-0008,空気,雰囲気
cluster-0009-0000,暑さ,温度
cluster-0009-0001,お肌
cluster-0010,アシカショー,アシカ,アザラシ
cluster-0011-0000-0000,水槽
cluster-0011-0000-0001,水族館
cluster-0012-0000-0000-0000-0000,食事
cluster-0012-0000-0000-0000-0001,ラーメン
cluster-0012-0001,玉こんにゃく
cluster-0012-0002,ウミネコの餌やり
cluster-0013-0000-0000-0000-0000,家族連れ
cluster-0013-0000-0000-0000-0001,子供
cluster-0013-0001,混雑
cluster-0014-0000-0000-0000-0000,登山
cluster-0014-0000-0000-0000-0001,入場料
cluster-0014-0001-0000-0000-0000,御朱印
cluster-0014-0001-0000-0000-0001,リニューアル
cluster-0015-0000-0000-0000-0000,松尾芭蕉
cluster-0015-0000-0000-0000-0001,道中
cluster-0015-0000-0001,幻想的
cluster-0015-0001-0000,ショー,展示
cluster-0015-0001-0001,曜日
cluster-0015-0002-0000-0000-0000,靴
cluster-0015-0002-0000-0000-0001,魚
cluster-0015-0003-0000-0000-0000,樹氷
cluster-0015-0003-0000-0000-0001,雪
cluster-0015-0003-0001,紅葉
cluster-0016-0000,お土産店,お店,お土産屋
cluster-0016-0001-0000-0000-0000,休憩場所
cluster-0016-0001-0000-0000-0001,駐車場
cluster-0016-0001-0001,建物,施設
cluster-0016-0001-0002-0000-0000,ホテル
cluster-0016-0001-0002-0000-0001,館内
cluster-0016-0001-0003,スタッフ
cluster-0016-0002-0000-0000,お寺,お堂
cluster-0016-0002-0000-0001,立石寺
cluster-0016-0002-0001-0000-0000,奥の院
cluster-0016-0002-0001-0000-0001,五大堂
cluster-0017-0000,頂上からの景色,景色,展望施設,眺め,頂上,景観
cluster-0017-0001,石段,階段
cluster-0017-0002,スキー場,ゲレンデ,スキー
cluster-0017-0003-0000-0000-0000,リフト
cluster-0017-0003-0000-0000-0001,ロープウェイ
