cluster-0000-0000,伊達政宗の騎馬像,伊達政宗像,伊達政宗
cluster-0000-0001,仙台城,仙台城跡,るーぷる仙台
cluster-0000-0002-0000,城址,城跡,お城
cluster-0000-0002-0001-0000-0000,天守閣
cluster-0000-0002-0001-0000-0001,本丸
cluster-0001,船内ガイド,案内,ガイド
cluster-0002-0000,ふれあい体験,体験
cluster-0002-0001,写真撮影
cluster-0003,ショー,イワシのショー
cluster-0004-0000-0000,展示
cluster-0004-0000-0001,説明
cluster-0005-0000-0000,イベント
cluster-0005-0000-0001,アナウンス
cluster-0006,歴史
cluster-0007-0000-0000-0000-0000,水槽
cluster-0007-0000-0000-0000-0001,水族館
cluster-0007-0001-0000,施設内容,館内
cluster-0007-0001-0001,資料館
cluster-0007-0002-0000,飲食,飲食店
cluster-0007-0002-0001-0000-0000-0000-0000,フードコート
cluster-0007-0002-0001-0000-0000-0000-0001,アウトレットモール
cluster-0007-0002-0001-0001,レストランメニュー
cluster-0008,座席,グリーン席,階席,窓際の席
cluster-0009-0000,入場料,チケット購入
cluster-0009-0001,料金
cluster-0010,シャトルバス,バス
cluster-0011-0000-0000-0000-0000,プール
cluster-0011-0000-0000-0000-0001,デッキ
cluster-0011-0001,坂道
cluster-0012-0000-0000-0000-0000,駐車場
cluster-0012-0000-0000-0000-0001,予約
cluster-0012-0001,混雑
cluster-0012-0002,平日
cluster-0013-0000-0000-0000-0000,年齢層
cluster-0013-0000-0000-0000-0001,年間パスポート
cluster-0013-0001,酔い予防
cluster-0014-0000-0000,イルカ,イルカショー
cluster-0014-0000-0001-0000-0000,アザラシ
cluster-0014-0000-0001-0000-0001,ウミネコ
cluster-0014-0001-0000,ペンギン,ペンギンの餌やり体験
cluster-0014-0001-0001-0000,カモメ,カモメの餌やり
cluster-0014-0001-0001-0001,餌やり禁止
cluster-0015-0000-0000,松島遊覧船,遊覧船
cluster-0015-0000-0001-0000,乗船,船
cluster-0015-0000-0001-0001,出航時間
cluster-0015-0001,松島,松島湾
cluster-0015-0002,島巡り,島
cluster-0016-0000,景色,景観
cluster-0016-0001,夜景
cluster-0016-0002,展望
cluster-0016-0003,見晴らし
cluster-0016-0004,日本三景
cluster-0016-0005,綺麗さ
cluster-0017-0000,天気,風
cluster-0017-0001-0000-0000-0000,揺れ
cluster-0017-0001-0000-0000-0001,震災
cluster-0018-0000-0000,えびせん
cluster-0018-0000-0001,ずんだ
cluster-0019-0000-0000-0000-0000,魚
cluster-0019-0000-0000-0000-0001,牡蠣
cluster-0019-0001,海洋
cluster-0019-0002,生き物
cluster-0020-0000-0000-0000-0000,塩釜
cluster-0020-0000-0000-0000-0001,石垣
cluster-0020-0000-0001,銅像
cluster-0020-0001-0000-0000-0000,リス
cluster-0020-0001-0000-0000-0001,政宗公
cluster-0021-0000,護国神社,神社
cluster-0021-0001,お土産,お土産屋
cluster-0021-0002-0000,子連れ,子供
cluster-0021-0002-0001,家族
