cluster-0000,足湯,湯畑,湯もみ体験,湯もみ,湯気,湯,お湯
cluster-0001,温泉まんじゅう,温泉,温泉グルメ,温泉街,日帰り温泉
cluster-0002-0000,お風呂,露天風呂
cluster-0002-0001,共同浴場
cluster-0002-0002,浴衣
cluster-0003-0000-0000-0000-0000,飲泉所
cluster-0003-0000-0000-0000-0001,泉質
cluster-0003-0001-0000-0000-0000,水の流れ
cluster-0003-0001-0000-0000-0001,水量
cluster-0003-0001-0001,水しぶき
cluster-0004-0000,焼き物,焼き鳥
cluster-0004-0001,こんにゃく
cluster-0005-0000-0000-0000-0000,射的
cluster-0005-0000-0000-0000-0001,弓矢
cluster-0005-0001,輪投げ
cluster-0006-0000-0000-0000-0000,橋
cluster-0006-0000-0000-0000-0001,建設
cluster-0006-0000-0001,道
cluster-0006-0001-0000-0000-0000,自然
cluster-0006-0001-0000-0000-0001,肌
cluster-0006-0002-0000-0000-0000,滝
cluster-0006-0002-0000-0000-0001,岩
cluster-0006-0002-0001,雪
cluster-0006-0003-0000-0000,階段,石段
cluster-0006-0003-0000-0001,石畳
cluster-0006-0003-0001-0000-0000,饅頭
cluster-0006-0003-0001-0000-0001,足元注意
cluster-0007-0000,景色,展望台,景観
cluster-0007-0001-0000,散歩,散策
cluster-0007-0001-0001-0000-0000-0000-0000,街並み
cluster-0007-0001-0001-0000-0000-0000-0001,遊歩道
cluster-0007-0001-0001-0001,駐車場
cluster-0007-0001-0001-0002,ハイキングコース
cluster-0008-0000-0000-0000-0000,迫力
cluster-0008-0000-0000-0000-0001,混雑
cluster-0008-0001,スケール
cluster-0009-0000-0000-0000-0000,雰囲気
cluster-0009-0000-0000-0000-0001,天気
cluster-0009-0001,涼しさ
cluster-0009-0002,時間帯と季節
cluster-0010-0000-0000-0000-0000,マイナスイオン
cluster-0010-0000-0000-0000-0001,硫黄の匂い
cluster-0010-0001-0000-0000-0000,紅葉
cluster-0010-0001-0000-0000-0001,緑
cluster-0010-0001-0001,ライトアップ
cluster-0010-0001-0002,昭和
cluster-0011-0000,神社,伊香保神社
cluster-0011-0001-0000-0000-0000,観光客
cluster-0011-0001-0000-0000-0001,地元の人
cluster-0011-0002-0000-0000-0000,東洋のナイアガラ
cluster-0011-0002-0000-0000-0001,西の河原
cluster-0012-0000,店,お土産屋さん,駄菓子屋,お土産屋,売店,お土産
cluster-0012-0001,子供連れ,家族連れ,家族旅行
cluster-0012-0002,宿泊施設,宿泊
cluster-0012-0003,食事場所,食事,飲食
