cluster-0000-0000-0000,空,空気
cluster-0000-0000-0001-0000,天気,風
cluster-0000-0000-0001-0001,流れ
cluster-0000-0001-0000,お湯,水
cluster-0000-0001-0001-0000-0000,滝
cluster-0000-0001-0001-0000-0001,pipi
cluster-0000-0002-0000-0000-0000,ジェット
cluster-0000-0002-0000-0000-0001,飛行機
cluster-0000-0002-0001-0000-0000,サップ
cluster-0000-0002-0001-0000-0001,ジャンプ
cluster-0001-0000-0000,オキちゃん劇場
cluster-0001-0000-0001,映画
cluster-0002,写真,カメラ,写真撮影
cluster-0003-0000-0000,シャワー,シャワー設備
cluster-0003-0000-0001-0000-0000,更衣室
cluster-0003-0000-0001-0000-0001,着替え
cluster-0003-0001-0000-0000,イルミネーション,照明
cluster-0003-0001-0000-0001,透明度
cluster-0003-0001-0001,時間,時間帯
cluster-0003-0001-0002-0000-0000-0000-0000,ショー
cluster-0003-0001-0002-0000-0000-0000-0001,オシャレ
cluster-0003-0001-0002-0000-0001,道
cluster-0003-0001-0002-0001-0000-0000-0000,波
cluster-0003-0001-0002-0001-0000-0000-0001,ブルー
cluster-0003-0001-0002-0001-0001,イオン
cluster-0003-0001-0003-0000-0000-0000-0000,価格
cluster-0003-0001-0003-0000-0000-0000-0001,スケール
cluster-0003-0001-0003-0001,クイズ
cluster-0003-0001-0003-0002,赤瓦
cluster-0004,楽しさ,楽しい,楽しむ
cluster-0005,安全・安心,安心・満足
cluster-0006-0000-0000,思い出
cluster-0006-0000-0001,体験
cluster-0007-0000-0000,散歩
cluster-0007-0000-0001,リラックス
cluster-0008-0000,綺麗さ,綺麗,美しさ
cluster-0008-0001,広さ,広い
cluster-0008-0002,賑やかさ,混雑,賑わい
cluster-0008-0003-0000-0000-0000,活気
cluster-0008-0003-0000-0000-0001,雰囲気
cluster-0008-0003-0001,迫力
cluster-0009-0000,観光客,外国人観光客,異国,外国人
cluster-0009-0001-0000,子供連れ,家族連れ
cluster-0009-0001-0001-0000-0000,家族
cluster-0009-0001-0001-0000-0001,カップル
cluster-0009-0002-0000-0000-0000,子供
cluster-0009-0002-0000-0000-0001,若者
cluster-0009-0002-0001,年齢層
cluster-0009-0003-0000-0000-0000,お兄さん
cluster-0009-0003-0000-0000-0001,ちんすこう
cluster-0009-0004,修学旅行生
cluster-0009-0005-0000,インストラクター,インストラクション
cluster-0009-0005-0001,説明,解説
cluster-0009-0005-0002,ガイド,指導
cluster-0009-0005-0003-0000-0000,対応
cluster-0009-0005-0003-0000-0001,サポート
cluster-0009-0005-0004-0000-0000,スタッフ
cluster-0009-0005-0004-0000-0001,担当者
cluster-0009-0006-0000,GoProレンタル,レンタカー,レンタサイクル
cluster-0009-0006-0001,サイクリング,自転車
cluster-0009-0006-0002,ドライブ,運転
cluster-0009-0006-0003-0000-0000,乗り物
cluster-0009-0006-0003-0000-0001,バス
cluster-0009-0007,ツアー,ナイトツアー,ジャングルツアー
cluster-0009-0008,SUP,SUPツアー,SUP体験
cluster-0010-0000,お土産,お菓子屋,おみやげ,土産物店,お土産店,お土産屋
cluster-0010-0001,買い物,ショッピング,ショッピングモール
cluster-0010-0002-0000-0000-0000,カフェ
cluster-0010-0002-0000-0000-0001,居酒屋
cluster-0010-0003,店員,ショップ,店,お店,コンビニエンスストア,洋服屋
cluster-0010-0004,ドン・キホーテ
cluster-0011-0000,ホテル,宿泊施設,リゾート,リゾートホテル,宿泊
cluster-0011-0001-0000-0000-0000,地元
cluster-0011-0001-0000-0000-0001,集落
cluster-0011-0001-0001,街並み,市街地
cluster-0011-0001-0002-0000-0000,公設市場
cluster-0011-0001-0002-0000-0001,市場
cluster-0011-0002-0000,受付,入場
cluster-0011-0002-0001,送迎
cluster-0011-0002-0002,電話と予約
cluster-0011-0003-0000-0000,駐車場,公園
cluster-0011-0003-0000-0001,空港
cluster-0011-0003-0001-0000,施設,建物
cluster-0011-0003-0001-0001,敷地
cluster-0011-0003-0001-0002,館内
cluster-0012,食事,飲食店,飲食施設,飲食
cluster-0013,酔い止め,船酔い,酔い止め薬
cluster-0014-0000,石垣島,石垣島情報,石垣牛
cluster-0014-0001-0000,西表島,西表島の自然
cluster-0014-0001-0001-0000,島,離島
cluster-0014-0001-0001-0001,幻の島
cluster-0014-0001-0001-0002,離島ターミナル
