cluster-0000-0000,価格,料金
cluster-0000-0001,入場料,チケット
cluster-0000-0002-0000,乗り換え券,一日乗車券
cluster-0000-0002-0001-0000-0000,パスポート
cluster-0000-0002-0001-0000-0001,ICカード
cluster-0001-0000-0000,路面電車,電車
cluster-0001-0000-0001,路線
cluster-0001-0001,車両,運転
cluster-0001-0002-0000-0000-0000,バス
cluster-0001-0002-0000-0000-0001,タクシー
cluster-0001-0002-0001,公共交通機関
cluster-0002,散歩,食べ歩き
cluster-0003-0000-0000,動く歩道
cluster-0003-0000-0001,移動
cluster-0004-0000,坂,坂道と階段
cluster-0004-0001-0000-0000-0000,エスカレーター
cluster-0004-0001-0000-0000-0001,ロープウェイ
cluster-0005-0000,酔い止め薬,船酔い
cluster-0005-0001-0000,船,軍艦
cluster-0005-0001-0001,軍艦島ツアー
cluster-0005-0002-0000,乗船,乗車
cluster-0005-0002-0001,フェリー
cluster-0005-0002-0002,上陸
cluster-0005-0003-0000,島,出島
cluster-0005-0003-0001,港と海の景色,港
cluster-0006-0000,長崎市内,長崎市内観光
cluster-0006-0001-0000-0000-0000,観覧車
cluster-0006-0001-0000-0000-0001,市内観光
cluster-0006-0001-0001,自転車レンタル
cluster-0006-0002,クルーズ,観光クルーズ
cluster-0006-0003-0000-0000-0000,見学
cluster-0006-0003-0000-0000-0001,ツアー
cluster-0006-0003-0001,観光客
cluster-0007-0000,味,美味しい
cluster-0007-0001-0000,食事,昼食
cluster-0007-0001-0001,料理
cluster-0008,中華料理,中華街
cluster-0009-0000-0000,角煮まん
cluster-0009-0000-0001,まんじゅう
cluster-0010-0000-0000,チャンポン
cluster-0010-0000-0001,皿うどん
cluster-0011-0000-0000,綺麗,美しさ
cluster-0011-0000-0001-0000-0000-0000-0000,雰囲気
cluster-0011-0000-0001-0000-0000-0000-0001,異国情緒
cluster-0011-0000-0001-0001,迫力
cluster-0011-0000-0002-0000,混雑,賑やかさ
cluster-0011-0000-0002-0001,便利
cluster-0011-0000-0002-0002,経済成長
cluster-0011-0001-0000,天気,風
cluster-0011-0001-0001,寒い
cluster-0011-0002-0000,広さ,規模
cluster-0011-0002-0001,本数
cluster-0011-0002-0002,波
cluster-0012-0000,貸衣装,服装,ドレス
cluster-0012-0001,写真撮影,写真
cluster-0012-0002,ハート,ハートの石
cluster-0012-0003-0000,花,花火
cluster-0012-0003-0001,チューリップ
cluster-0012-0004-0000-0000-0000,家族
cluster-0012-0004-0000-0000-0001,カップル
cluster-0012-0004-0001,子供
cluster-0012-0005-0000-0000-0000,歌劇団
cluster-0012-0005-0000-0000-0001,ロマンチック
cluster-0013-0000-0000-0000-0000,ワンピース
cluster-0013-0000-0000-0000-0001,ロープウェー
cluster-0013-0001,アトラクション,テーマパーク
cluster-0013-0002-0000-0000-0000,パレード
cluster-0013-0002-0000-0000-0001,平和公園
cluster-0014-0000-0000,展示,ショー
cluster-0014-0000-0001,説明
cluster-0014-0001-0000-0000-0000,プロジェクションマッピング
cluster-0014-0001-0000-0000-0001,地図
cluster-0014-0002-0000-0000-0000,スタッフ
cluster-0014-0002-0000-0000-0001,ガイド
cluster-0014-0003-0000-0000-0000,イベント
cluster-0014-0003-0000-0000-0001,アクセス
cluster-0014-0003-0001,予約
cluster-0015-0000-0000-0000-0000,営業時間
cluster-0015-0000-0000-0000-0001,待ち時間
cluster-0015-0001,ホテル,レストラン
cluster-0015-0002-0000-0000-0000,お店
cluster-0015-0002-0000-0000-0001,駅
cluster-0016-0000,炭鉱,石炭産業
cluster-0016-0001-0000-0000-0000,廃墟
cluster-0016-0001-0000-0000-0001,劣化
cluster-0016-0001-0001,高齢者
cluster-0016-0002-0000-0000-0000,歴史的建造物
cluster-0016-0002-0000-0000-0001,建物
cluster-0016-0002-0001,歴史
cluster-0016-0003-0000-0000-0000,世界遺産
cluster-0016-0003-0000-0000-0001,名所
cluster-0016-0003-0001,お土産
cluster-0017-0000,グラバー邸,グラバー,グラバー園
cluster-0017-0001-0000,庭,花壇
cluster-0017-0001-0001,園内,車内
cluster-0017-0001-0002-0000-0000,駐車場
cluster-0017-0001-0002-0000-0001,敷地
cluster-0017-0002-0000-0000-0000,洋館
cluster-0017-0002-0000-0000-0001,江山楼
cluster-0017-0002-0001-0000-0000-0000-0000,展望台
cluster-0017-0002-0001-0000-0000-0000-0001,山頂
cluster-0017-0002-0001-0001,屋台
cluster-0017-0002-0001-0002,大浦天主堂
cluster-0018-0000,ランタン,ランタンフェスティバル
cluster-0018-0001,ライトアップ,イルミネーション
cluster-0018-0002-0000-0000-0000,光の王国
cluster-0018-0002-0000-0000-0001,光
cluster-0019-0000,夜景,夜景ツアー,夕焼け
cluster-0019-0001-0000-0000-0000,世界三大夜景
cluster-0019-0001-0000-0000-0001,稲佐山の夜景
cluster-0020,景色,景観,風景
cluster-0021,街並み,町の風景
