cluster-0000-0000,海鮮,海産物
cluster-0000-0001,新鮮な魚介類,魚介類
cluster-0000-0002,牡蠣
cluster-0000-0003,カニ
cluster-0000-0004-0000,市場,魚市場
cluster-0000-0004-0001,新鮮,鮮魚店,魚,鮮魚
cluster-0000-0005-0000-0000,食と特産品,特産品
cluster-0000-0005-0000-0001,野菜,地元産野菜と果物,フルーツ
cluster-0000-0005-0001,食事処,食事,食堂
cluster-0000-0005-0002-0000-0000,食材
cluster-0000-0005-0002-0000-0001,飲食
cluster-0000-0005-0003-0000-0000,ご飯
cluster-0000-0005-0003-0000-0001,肉
cluster-0000-0005-0004-0000,丼,おでん
cluster-0000-0005-0004-0001-0000,回転寿司,お寿司
cluster-0000-0005-0004-0001-0001,刺身
cluster-0001-0000-0000,万代,万代橋
cluster-0001-0000-0001,信濃川,川沿い,川
cluster-0001-0001,石,石造り,石造りの橋
cluster-0001-0002-0000-0000-0000,鳥居
cluster-0001-0002-0000-0000-0001,橋
cluster-0001-0002-0001,アーチ
cluster-0001-0003-0000,弥彦神社,神社,神社建築
cluster-0001-0003-0001-0000-0000-0000-0000,御朱印
cluster-0001-0003-0001-0000-0000-0000-0001,おみくじとお守り
cluster-0001-0003-0001-0001,朱鷺メッセ
cluster-0001-0003-0001-0002,重要文化財
cluster-0001-0003-0002,参拝,参道
cluster-0001-0003-0003-0000-0000,弁慶
cluster-0001-0003-0003-0000-0001,越後一宮
cluster-0002-0000,菊まつり,菊
cluster-0002-0001-0000-0000-0000,木々
cluster-0002-0001-0000-0000-0001,新緑
cluster-0002-0001-0001,紅葉
cluster-0002-0002-0000-0000-0000,桜
cluster-0002-0002-0000-0000-0001,花火
cluster-0002-0002-0001,チューリップ
cluster-0003,昼,夜
cluster-0004,ライトアップ,明かり
cluster-0005-0000,景色,夜景
cluster-0005-0001-0000-0000-0000,静けさ
cluster-0005-0001-0000-0000-0001,やすらぎ堤
cluster-0006-0000-0000-0000-0000,鹿
cluster-0006-0000-0000-0000-0001,動物
cluster-0006-0001,自然
cluster-0007,天気,風
cluster-0008,空気,雰囲気
cluster-0009,季節
cluster-0010-0000,散策・散歩,散歩
cluster-0010-0001-0000-0000-0000,新潟市街地
cluster-0010-0001-0000-0000-0001,古町
cluster-0010-0001-0001-0000-0000-0000-0000,駅
cluster-0010-0001-0001-0000-0000-0000-0001,街
cluster-0010-0001-0001-0001,混雑
cluster-0010-0002-0000-0000-0000,価格
cluster-0010-0002-0000-0000-0001,歴史
cluster-0010-0002-0001-0000-0000-0000-0000,浜焼き
cluster-0010-0002-0001-0000-0000-0000-0001,バーベキュー
cluster-0010-0002-0001-0001,写真撮影
cluster-0010-0003-0000-0000-0000,地元の人々
cluster-0010-0003-0000-0000-0001,境内
cluster-0010-0004-0000-0000-0000,駐車場
cluster-0010-0004-0000-0000-0001,ホテル
cluster-0010-0004-0001-0000-0000,パワースポット
cluster-0010-0004-0001-0000-0001,温泉
cluster-0010-0004-0002,ロープウェイ
cluster-0011-0000-0000,お土産,お土産店
cluster-0011-0000-0001,お店,パン屋,店舗,ショッピング
cluster-0011-0001,カフェ,コーヒー
cluster-0011-0002,日本酒,酒屋,酒
