cluster-0000-0000,チーズ,チーズケーキ
cluster-0000-0001,乳製品,牛乳
cluster-0000-0002-0000-0000-0000,ソフトクリーム
cluster-0000-0002-0000-0000-0001,ジェラート
cluster-0000-0002-0001,ヨーグルト
cluster-0001-0000,羊ショー,羊
cluster-0001-0001-0000-0000-0000,馬
cluster-0001-0001-0000-0000-0001,牛
cluster-0001-0001-0001,動物
cluster-0002-0000,撮影禁止,写真撮影
cluster-0002-0001-0000,体験,乗馬体験
cluster-0002-0001-0001,バター作り体験
cluster-0002-0002-0000-0000-0000-0000-0000,解説
cluster-0002-0002-0000-0000-0000-0000-0001,探検
cluster-0002-0002-0000-0001,技術
cluster-0002-0002-0000-0002,歴史
cluster-0002-0002-0001,料金,価格
cluster-0002-0002-0002-0000-0000,レストラン
cluster-0002-0002-0002-0000-0001,食事
cluster-0002-0002-0003-0000-0000-0000-0000,バス
cluster-0002-0002-0003-0000-0000-0000-0001,ガラス
cluster-0002-0002-0003-0001,コウモリ
cluster-0002-0003-0000-0000-0000,アスレチック
cluster-0002-0003-0000-0000-0001,アーチェリー
cluster-0002-0003-0001-0000,イルミネーション,ライトアップ
cluster-0002-0003-0001-0001-0000-0000-0000,アトラクション
cluster-0002-0003-0001-0001-0000-0000-0001,イベント
cluster-0003-0000-0000,透明度,水の透明度
cluster-0003-0000-0001,景色,景観
cluster-0003-0000-0002,輝き,美しさ
cluster-0003-0000-0003-0000-0000-0000-0000,静けさ
cluster-0003-0000-0003-0000-0000-0000-0001,雰囲気
cluster-0003-0000-0003-0001,迫力
cluster-0003-0000-0004,神秘的
cluster-0003-0001-0000,緑,ブルー,青
cluster-0003-0001-0001,寒い,涼しい
cluster-0003-0001-0002-0000-0000,天気
cluster-0003-0001-0002-0000-0001,温度
cluster-0003-0001-0003-0000-0000,自然
cluster-0003-0001-0003-0000-0001,地球
cluster-0004-0000-0000-0000-0000,まきば園
cluster-0004-0000-0000-0000-0001,園内移動
cluster-0004-0001-0000,遊び場,遊具
cluster-0004-0001-0001,大人向けアクティビティ
cluster-0005-0000,建物,施設
cluster-0005-0001-0000-0000-0000,駐車場
cluster-0005-0001-0000-0000-0001,敷地
cluster-0005-0002,芝生
cluster-0006-0000,牧場,農場
cluster-0006-0001,家族
cluster-0007,子供連れ,子供
cluster-0008,人の多さ,混雑
cluster-0009-0000,参道の坂道,坂道
cluster-0009-0001,散歩,歩道
cluster-0009-0002-0000-0000-0000,お堂
cluster-0009-0002-0000-0000-0001,覆堂
cluster-0009-0002-0001-0000-0000,道
cluster-0009-0002-0001-0000-0001,通路
cluster-0009-0002-0002-0000-0000,入場
cluster-0009-0002-0002-0000-0001,階段
cluster-0009-0002-0003-0000-0000,足元
cluster-0009-0002-0003-0000-0001,上着
cluster-0010-0000,藤原氏の栄華,奥州藤原氏
cluster-0010-0001-0000-0000,国宝,宝物展示
cluster-0010-0001-0000-0001,世界遺産
cluster-0010-0001-0001-0000-0000,工芸品
cluster-0010-0001-0001-0000-0001,装飾
cluster-0010-0001-0002-0000-0000,外国人観光客
cluster-0010-0001-0002-0000-0001,お土産
cluster-0010-0002-0000-0000-0000,御朱印
cluster-0010-0002-0000-0000-0001,ジンギスカン
cluster-0010-0002-0001-0000,参拝,拝観
cluster-0010-0002-0001-0001-0000-0000-0000,仏像
cluster-0010-0002-0001-0001-0000-0000-0001,寺社仏閣
cluster-0010-0002-0001-0001-0001,中尊寺
cluster-0010-0003-0000-0000-0000,讃衡蔵
cluster-0010-0003-0000-0000-0001,荘厳
cluster-0010-0004-0000,桜,一本桜
cluster-0010-0004-0001,紅葉
cluster-0010-0004-0002,雪まつり
cluster-0010-0005-0000-0000,金色堂,金色
cluster-0010-0005-0000-0001,金箔
cluster-0010-0005-0000-0002,螺鈿
cluster-0010-0005-0001-0000-0000,日本三大鍾乳洞,鍾乳洞
cluster-0010-0005-0001-0000-0001,洞窟
cluster-0010-0005-0001-0001-0000,湖,地底湖
cluster-0010-0005-0001-0001-0001-0000-0000-0000-0000,平泉
cluster-0010-0005-0001-0001-0001-0000-0000-0000-0001,水
cluster-0010-0005-0001-0001-0001-0001,小岩井
