cluster-0000-0000,動く恐竜,ティラノサウルス,恐竜展示,恐竜博物館,恐竜模型,恐竜化石,恐竜,福井県の恐竜と博物館
cluster-0000-0001-0000,発掘体験,化石発掘体験
cluster-0000-0001-0001-0000-0000,骨格標本
cluster-0000-0001-0001-0000-0001,化石
cluster-0001-0000-0000,海鮮,海鮮丼
cluster-0001-0000-0001,カニ,タコ,イカとタコ
cluster-0001-0001,ペンギンのお散歩,ペンギン
cluster-0001-0002-0000-0000-0000,イルカ
cluster-0001-0002-0000-0000-0001,アザラシ
cluster-0001-0002-0001-0000-0000-0000-0000,ウミガメ
cluster-0001-0002-0001-0000-0000-0000-0001,サメ
cluster-0001-0002-0001-0001,マンボウ
cluster-0002,観光船,遊覧船,船
cluster-0003-0000-0000-0000-0000,波
cluster-0003-0000-0000-0000-0001,海
cluster-0003-0000-0001,エイ
cluster-0003-0001-0000-0000-0000,ドクターフィッシュ
cluster-0003-0001-0000-0000-0001,魚
cluster-0003-0002-0000,魚のプール,プール
cluster-0003-0002-0001,水槽
cluster-0004-0000,展示,展示物,ショー
cluster-0004-0001-0000-0000-0000,博物館
cluster-0004-0001-0000-0000-0001,水族館
cluster-0004-0002-0000-0000-0000,生物観察
cluster-0004-0002-0000-0000-0001,動物
cluster-0004-0002-0001,自然
cluster-0005,土産物店,お土産屋さん,お土産
cluster-0006-0000,奇岩,岩
cluster-0006-0001-0000,崖,断崖絶壁
cluster-0006-0001-0001,絶壁の上を歩く
cluster-0007-0000-0000,食事場所,食事
cluster-0007-0000-0001-0000-0000,お店
cluster-0007-0000-0001-0000-0001,レストラン
cluster-0007-0001-0000,階段,エスカレーター
cluster-0007-0001-0001,ガラス張りの床
cluster-0007-0002-0000-0000-0000,入場
cluster-0007-0002-0000-0000-0001,館内
cluster-0007-0002-0001-0000,建物,施設
cluster-0007-0002-0001-0001,ドーム
cluster-0007-0003,駐車場,公園,遊び場
cluster-0007-0004-0000-0000-0000,餌やり
cluster-0007-0004-0000-0000-0001,ふれあいコーナー
cluster-0008-0000,子供,息子
cluster-0008-0001-0000-0000-0000,大人
cluster-0008-0001-0000-0000-0001,子連れ
cluster-0008-0002,家族
cluster-0009-0000-0000-0000-0000,観光客
cluster-0009-0000-0000-0000-0001,混雑
cluster-0009-0001,バス
cluster-0010-0000-0000-0000-0000,チケット
cluster-0010-0000-0000-0000-0001,価格
cluster-0010-0001,柵
cluster-0011-0000-0000-0000-0000,広い
cluster-0011-0000-0000-0000-0001,サイズ
cluster-0011-0000-0001,迫力
cluster-0011-0001-0000-0000-0000,説明
cluster-0011-0001-0000-0000-0001,体験
cluster-0011-0001-0001,写真撮影
cluster-0011-0001-0002,サスペンスドラマ
cluster-0012-0000-0000,天気,風
cluster-0012-0000-0001,気候
cluster-0012-0001-0000,景色,景観
cluster-0012-0001-0001-0000-0000-0000-0000,夕日
cluster-0012-0001-0001-0000-0000-0000-0001,勝山
cluster-0012-0001-0001-0001,温泉
