cluster-0000-0000,シラス丼,しらす料理
cluster-0000-0001-0000-0000-0000,シロイルカ
cluster-0000-0001-0000-0000-0001,シラス
cluster-0001-0000-0000-0000-0000,海の生物
cluster-0001-0000-0000-0000-0001,海洋哺乳類
cluster-0001-0001,くじらのせなか
cluster-0002-0000-0000-0000-0000,イワシ
cluster-0002-0000-0000-0000-0001,ジンベイザメ
cluster-0002-0001-0000-0000-0000,魚
cluster-0002-0001-0000-0000-0001,釣り
cluster-0002-0001-0001,ドクターフィッシュ
cluster-0003,クラゲの展示,クラゲ,クラゲエリア
cluster-0004,イルカショー,イルカ,白イルカショー
cluster-0005-0000,種類,動物の種類
cluster-0005-0001,珍しい動物,動物,動物たち,生き物,小動物とのふれあい,小動物
cluster-0006-0000-0000,ハツカネズミ
cluster-0006-0000-0001,モルモット
cluster-0007-0000-0000-0000-0000,ライオン
cluster-0007-0000-0000-0000-0001,猫
cluster-0007-0001,クマ
cluster-0008-0000-0000,ペンギン
cluster-0008-0000-0001,レッサーパンダ
cluster-0009-0000-0000-0000-0000,キリン
cluster-0009-0000-0000-0000-0001,バイキン
cluster-0009-0001-0000-0000-0000,オカピ
cluster-0009-0001-0000-0000-0001,ひよこ
cluster-0010-0000,お弁当,ランチ,ランチビュッフェ
cluster-0010-0001,食事,食事場所
cluster-0010-0002,食べ放題,食べ歩き
cluster-0011-0000-0000,味,美味しい
cluster-0011-0000-0001-0000-0000-0000-0000,お粥
cluster-0011-0000-0001-0000-0000-0000-0001,スープ
cluster-0011-0000-0001-0001,スイーツ
cluster-0011-0000-0001-0002,甘栗
cluster-0011-0001-0000-0000-0000,イタリアン
cluster-0011-0001-0000-0000-0001,カンツォーネ
cluster-0011-0002,コース料理,料理
cluster-0011-0003-0000,中華料理,チャーハン
cluster-0011-0003-0001,小籠包
cluster-0012-0000-0000,肉まん,豚まん,中華まん
cluster-0012-0000-0001-0000-0000-0000-0000,たこせんべい
cluster-0012-0000-0001-0000-0000-0000-0001,黒たまご
cluster-0012-0000-0001-0001,とんぼ玉
cluster-0012-0001,アンパンマン,アンパンマンミュージアム,アンパンマンショー
cluster-0012-0002,パン,キャラクターパン,アンパンマンのパン,パンケーキ
cluster-0013,ガラス細工,ヴェネチアンガラス,切子体験,切子,吹きガラス工房
cluster-0014,ステンドグラス,ステンドグラスの塔
cluster-0015,ガラスの置物,ガラスの庭の装飾
cluster-0016,ガラスの木,ガラスの森
cluster-0017,クリスタル,ガラス,グラス
cluster-0018,屋内外,屋上,屋外
cluster-0019,園内,館内,店内・館内,境内
cluster-0020-0000,ホテル,宿泊施設
