cluster-0000-0000,百貨店,デパート
cluster-0000-0001,阪急
cluster-0000-0002,パルコ
cluster-0001-0000,お店,服屋,店主,店
cluster-0001-0001-0000-0000-0000,店舗数
cluster-0001-0001-0000-0000-0001,店員の対応
cluster-0002,雑貨,ショッピング,買い物,お買い物,ショッピングモール,雑貨とコスメ,ショッピング施設,雑貨店,ウィンドウショッピング
cluster-0003-0000,家族,子連れ,家族連れ,家族向け
cluster-0003-0001-0000,子供,子供服
cluster-0003-0001-0001,大人
cluster-0003-0002-0000,お土産,お土産店,お土産屋さん,お土産屋
cluster-0003-0002-0001-0000,外国人観光客,観光客
cluster-0003-0002-0001-0001,お客さん
cluster-0003-0002-0001-0002,地元の人
cluster-0004,イルカのショー,イルカショー,イルカ・アシカショー,クジラショー,イルカ
cluster-0005,マリンワールド,夜の水族館,水族館
cluster-0006-0000-0000,ラッコのえさやりイベント
cluster-0006-0000-0001,イワシショー
cluster-0007-0000-0000-0000-0000,天神
cluster-0007-0000-0000-0000-0001,学問の神様
cluster-0007-0001-0000-0000-0000,本殿
cluster-0007-0001-0000-0000-0001,神社
cluster-0007-0001-0001,天満宮
cluster-0007-0002-0000-0000-0000,お守り
cluster-0007-0002-0000-0000-0001,おみくじ
cluster-0007-0002-0001,初詣,参拝
cluster-0007-0002-0002-0000-0000,受験
cluster-0007-0002-0002-0000-0001,合格祈願
cluster-0008-0000-0000,福岡・博多エリア,博多ラーメン
cluster-0008-0000-0001,福岡ドーム
cluster-0008-0001-0000-0000-0000,西鉄太宰府駅
cluster-0008-0001-0000-0000-0001,大宰府
cluster-0008-0001-0001,長浜
cluster-0008-0001-0002,菅原道真
cluster-0009-0000,ラーメン,ラーメンスタジアム,ラーメン屋台
cluster-0009-0001-0000,焼き鳥,焼きカレー
cluster-0009-0001-0001,料理
cluster-0009-0002-0000,とんこつ,豚骨
cluster-0009-0002-0001-0000-0000,餃子
cluster-0009-0002-0001-0000-0001,おでん
cluster-0010,館内,境内
cluster-0011,建物,施設,商業施設
cluster-0012,公園,遊び場
cluster-0013,アミューズメント施設,アミュプラザ
cluster-0014-0000,福岡市民の憩いの場,市民の憩いの場
cluster-0014-0001-0000-0000-0000,日本庭園
cluster-0014-0001-0000-0000-0001,石畳とレンガ
cluster-0014-0002-0000-0000-0000,おすすめスポット
cluster-0014-0002-0000-0000-0001,恋人の聖地
cluster-0014-0003-0000-0000-0000,立地
cluster-0014-0003-0000-0000-0001,ランドマーク
cluster-0015,駐車施設,駐車場,駐車
cluster-0016-0000-0000-0000-0000,エレベーター
cluster-0016-0000-0000-0000-0001,タワー
cluster-0016-0001,観覧車
cluster-0016-0002,キャナルシティ
cluster-0017,バス,バス停留所
