羊とヤギ,15.0,0.7267,羊とヤギ
家族連れ,18.0,0.6389,家族連れ
防寒,41.0,-0.3488,防寒,寒さ
冬,18.0,0.2222,冬
アメニティ,12.0,0.5833,アメニティ
自然,12.0,0.8250,自然
道,43.0,-0.2139,道
空気感,25.0,0.7080,空気感
天気,21.0,0.2714,天気
紅葉,11.0,0.5909,紅葉
登山,15.0,0.6000,登山
山,14.0,0.5143,山
山頂,27.0,0.4259,山頂
景色,387.0,0.8912,夜景,景観,景色
展望台,36.0,0.7889,展望台
アクセス,12.0,0.1000,アクセス
車,28.0,0.2071,車
ドライブ,23.0,0.6217,ドライブ
乳製品作り体験,12.0,0.8833,乳製品作り体験
ショッピング,13.0,0.5154,ショッピング
食事,13.0,0.3385,食事
ホテル,11.0,0.5000,ホテル
カップル,46.0,0.6652,カップル
デート,20.0,0.8250,デート
オルゴール,13.0,0.6385,オルゴール
ケーブルカー,36.0,0.4972,ケーブルカー,ロープウェイ
有馬温泉,18.0,0.5889,有馬温泉
アスレチック,19.0,0.7579,アスレチック
町並み,15.0,0.6800,町並み
植物園,11.0,0.7636,植物園
牧場,32.0,0.6875,牧場
