物産展,17.0,0.5647,物産展
お土産,73.0,0.6411,お土産
イオンモール常滑,13.0,0.5154,イオンモール常滑
買い物,61.0,0.7066,買い物,ショッピング
お店,52.0,0.5904,お店
グルメ,69.0,0.7623,名古屋グルメ,グルメ
食事処,17.0,0.6529,食事処
飲食店,152.0,0.6283,飲食店,レストラン
カフェ,16.0,0.5625,カフェ
ランチ,13.0,0.6231,ランチ
子供,16.0,0.8313,子供
施設,14.0,0.7143,施設
名鉄,25.0,0.4920,名鉄
バス,21.0,0.4952,バス
アクセス,17.0,0.1235,アクセス
駐車場,48.0,-0.1312,駐車場
イルミネーション,44.0,0.7909,イルミネーション
イベント,42.0,0.6833,イベント
スカイデッキ,89.0,0.7573,スカイデッキ
展望施設,12.0,0.8000,展望施設
お風呂,20.0,0.6800,お風呂
温泉,28.0,0.7571,温泉
ラウンジ,14.0,0.2786,ラウンジ
飛行機,160.0,0.7456,飛行機の離着陸,飛行機
セントレア,79.0,0.6051,セントレア
中部国際空港セントレア,25.0,0.4000,中部国際空港セントレア
空港,114.0,0.5728,空港
国際線,12.0,0.3167,国際線
